MuvBox;;;;;;
time;acc_y;acc_y-g;(acc_y-g)^2;média accy^2;rms;Velocidade
202.621792;0.96484375;-0.028273576;0.000799395;;;0.000107457
202.622835;1.01171875;0.018601424;0.000346013;;;5.79751E-05
202.623899;0.99609375;0.002976424;8.8591E-06;;;0.000170588
202.624946;0.888671875;-0.104445451;0.010908852;;;-0.00035051
202.625998;0.948730469;-0.044386858;0.001970193;;;-0.001118493
202.627034;0.995117188;0.001999861;3.99944E-06;;;-0.001333886
202.628081;0.919921875;-0.073195451;0.005357574;;;-0.001699514
202.629131;0.953125;-0.039992326;0.001599386;;;-0.002282459
202.630193;1.000488281;0.007370955;5.4331E-05;;;-0.002452387
202.631743;0.990234375;-0.002882951;8.31141E-06;;;-0.002418266
202.632335;1.006835938;0.013718611;0.0001882;;;-0.002386802
202.633331;1.012207031;0.019089705;0.000364417;;;-0.002226521
202.63456;0.994628906;0.00151158;2.28487E-06;;;-0.002102331
202.635443;1.068847656;0.07573033;0.005735083;;;-0.001767788
202.636491;1.065429688;0.072312361;0.005229078;;;-0.001006783
202.637547;1.016601563;0.023484236;0.000551509;;;-0.000510587
202.638629;0.999511719;0.006394392;4.08883E-05;;;-0.000352015
202.63982;0.98828125;-0.004836076;2.33876E-05;;;-0.000342912
202.640881;1.037597656;0.04448033;0.0019785;;;-0.000136595
202.641785;0.97265625;-0.020461076;0.000418656;;;-3.00907E-05
202.642952;0.984375;-0.008742326;7.64283E-05;;;-0.000197255
202.64467;1.054199219;0.061081892;0.003730998;;;0.0002438
202.645122;0.984375;-0.008742326;7.64283E-05;;;0.00035984
202.646051;0.952148438;-0.040968889;0.00167845;;;0.000133318
202.647055;1.018554688;0.025437361;0.000647059;;;5.68313E-05
202.648189;0.979003906;-0.01411342;0.000199189;;;0.000119818
202.649228;0.987792969;-0.005324358;2.83488E-05;;;2.07575E-05
202.650279;0.985839844;-0.007277483;5.29618E-05;;;-4.42069E-05
202.651201;1.012207031;0.019089705;0.000364417;;;9.21277E-06
202.652344;1.055664063;0.062546736;0.003912094;;;0.000466901
202.653919;0.990722656;-0.00239467;5.73445E-06;;;0.000931598
202.654373;0.996582031;0.003464705;1.20042E-05;;;0.000933981
202.655381;1.03515625;0.042038924;0.001767271;;;0.001158961
202.656431;0.995117188;0.001999861;3.99944E-06;;;0.001385772
202.657481;1.008300781;0.015183455;0.000230537;;;0.001474271
202.658531;0.986328125;-0.006789201;4.60933E-05;;;0.001517503
202.659581;0.979003906;-0.01411342;0.000199189;;;0.001409849
202.660883;1.03125;0.038132674;0.001454101;;;0.001563244
202.661724;1.0390625;0.045945174;0.002110959;;;0.001910074
202.662747;1.006835938;0.013718611;0.0001882;;;0.002209456
202.663792;1.044921875;0.051804549;0.002683711;;;0.002545309
202.664836;1.041503906;0.04838658;0.002341261;;;0.00305837
202.665899;0.954101563;-0.039015764;0.00152223;;;0.00310723
202.666946;0.976074219;-0.017043108;0.000290468;;;0.002819337
202.667998;0.960449219;-0.032668108;0.001067205;;;0.002562824
202.669034;0.900878906;-0.09223842;0.008507926;;;0.001928102
202.670081;0.962402344;-0.030714983;0.00094341;;;0.00129667
202.671131;0.966308594;-0.026808733;0.000718708;;;0.001000409
202.672181;0.951660156;-0.04145717;0.001718697;;;0.000648822
202.673362;0.962890625;-0.030226701;0.000913653;;;0.000233572
202.674281;0.958496094;-0.034621233;0.00119863;;;-5.8743E-05
202.675566;0.913085938;-0.080031389;0.006405023;;;-0.00078139
202.676518;0.942871094;-0.050246233;0.002524684;;;-0.001389729
202.677431;0.948730469;-0.044386858;0.001970193;;;-0.001813521
202.679674;0.944335938;-0.048781389;0.002379624;;;-0.00283855
202.680581;1.045898438;0.052781111;0.002785846;;;-0.002820756
202.68164;1.029785156;0.03666783;0.00134453;;;-0.002356123
202.682684;0.978027344;-0.015089983;0.000227708;;;-0.002245627
